0,bus,0.9357,1,1402,52,1918,476
0,car,0.8438,2,1321,312,1398,371
1,bus,0.9329,1,1402,56,1918,471
1,car,0.8148,2,1321,312,1397,371
2,bus,0.9363,1,1395,63,1918,467
2,car,0.8185,2,1320,312,1395,371
3,bus,0.8995,1,1389,67,1918,466
3,car,0.8380,2,1318,312,1395,371
4,bus,0.9297,1,1390,72,1918,464
4,car,0.8167,2,1316,312,1394,371
5,bus,0.9346,1,1392,76,1918,462
5,car,0.8075,2,1316,312,1392,370
6,bus,0.9344,1,1391,79,1918,461
6,car,0.7959,2,1316,312,1390,370
7,bus,0.9352,1,1388,84,1918,458
7,car,0.7873,2,1314,312,1389,369
8,bus,0.9372,1,1386,88,1918,457
8,car,0.7815,2,1313,312,1387,368
9,bus,0.9405,1,1383,92,1918,457
9,car,0.8051,2,1311,312,1386,368
10,bus,0.9372,1,1382,96,1918,456
10,car,0.8015,2,1310,312,1385,367
11,bus,0.9274,1,1382,97,1918,455
11,car,0.7826,2,1309,312,1384,368
12,bus,0.9316,1,1382,101,1915,453
12,car,0.7880,2,1309,312,1382,368
13,bus,0.9279,1,1381,104,1903,451
13,car,0.7941,2,1309,312,1380,368
14,bus,0.9188,1,1380,107,1889,451
14,car,0.7782,2,1309,312,1378,368
15,bus,0.9248,1,1378,111,1872,450
15,car,0.7746,2,1308,312,1375,367
16,bus,0.9198,1,1376,114,1866,449
16,car,0.7818,2,1308,313,1374,367
17,bus,0.9091,1,1376,117,1858,450
17,car,0.7767,2,1308,313,1373,366
18,bus,0.9154,1,1375,121,1840,448
18,car,0.7697,2,1308,313,1372,367
19,bus,0.9251,1,1374,125,1826,446
19,car,0.7844,2,1308,314,1370,367
20,bus,0.9190,1,1372,127,1816,444
20,car,0.7531,2,1308,313,1369,368
21,bus,0.9186,1,1371,132,1809,442
21,car,0.7302,2,1308,313,1368,368
22,bus,0.9146,1,1369,135,1808,442
22,car,0.7409,2,1308,313,1366,367
23,bus,0.9054,1,1369,140,1804,441
23,car,0.7164,2,1308,313,1366,366
24,bus,0.8878,1,1368,142,1787,441
24,car,0.7036,2,1308,312,1366,366
25,bus,0.9047,1,1367,143,1771,441
25,car,0.7073,2,1308,312,1365,366
26,bus,0.8976,1,1366,145,1760,440
26,car,0.6870,2,1308,311,1365,365
27,bus,0.8993,1,1364,148,1745,437
27,car,0.6731,2,1308,310,1364,366
28,bus,0.9025,1,1363,150,1736,436
28,car,0.6496,2,1307,309,1364,365
29,bus,0.8955,1,1363,152,1731,437
29,car,0.6271,2,1307,308,1362,365
30,bus,0.9033,1,1361,153,1727,433
30,car,0.6199,2,1306,307,1359,364
31,bus,0.8907,1,1360,155,1726,430
31,car,0.6380,2,1305,308,1357,363
